date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:25:45	441/441	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Aug%202023%2022:24:44%20GMT	https://grupoplaytvstreaming.com.br/robots.txt		(from )
19:25:46	117546/117546	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Aug%202023%2022:24:45%20GMT	https://grupoplaytvstreaming.com.br/	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/index.html	(from )
19:25:47	97517/97517	---M-Z	200	added ('OK')	text/css	date:Thu,%2030%20Mar%202023%2006:38:23%20GMT	https://grupoplaytvstreaming.com.br/wp-includes/css/dist/block-library/style.min.css?ver=6.2.2	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-includes/css/dist/block-library/style.min3781.css	(from https://grupoplaytvstreaming.com.br/)
19:25:48	1688/1688	---M-Z	200	added ('OK')	application/rss+xml	etag:%22b1350ee1ac35084eee3901c2c030e1d4%22	https://grupoplaytvstreaming.com.br/?feed=rss2	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/indexd784.html	(from https://grupoplaytvstreaming.com.br/)
19:25:48	1687/1687	---M-Z	200	added ('OK')	application/rss+xml	etag:%22b1350ee1ac35084eee3901c2c030e1d4%22	https://grupoplaytvstreaming.com.br/?feed=comments-rss2	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/indexa6da.html	(from https://grupoplaytvstreaming.com.br/)
19:25:48	19443/19443	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2011:07:51%20GMT	https://grupoplaytvstreaming.com.br/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.20.0	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minfc13.css	(from https://grupoplaytvstreaming.com.br/)
19:25:49	83564/83564	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2011:07:49%20GMT	https://grupoplaytvstreaming.com.br/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.13.2	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-content/plugins/elementor/assets/css/frontend-lite.min2e9d.css	(from https://grupoplaytvstreaming.com.br/)
19:25:49	12876/12876	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2011:07:52%20GMT	https://grupoplaytvstreaming.com.br/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://grupoplaytvstreaming.com.br/)
19:25:49	1430/1430	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20May%202023%2011:10:29%20GMT	https://grupoplaytvstreaming.com.br/wp-content/uploads/elementor/css/post-5.css?ver=1683976229	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-content/uploads/elementor/css/post-57f67.css	(from https://grupoplaytvstreaming.com.br/)
19:25:50	11405/11405	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Nov%202022%2016:14:41%20GMT	https://grupoplaytvstreaming.com.br/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.7.7	C:/Users/Familia%20Santos/Desktop/SITE%20TV/NEXT%20IPTV/grupoplaytvstreaming.com.br/wp-content/plugins/elementor-pro/assets/css/frontend-lite.minac9e.css	(from https://grupoplaytvstreaming.com.br/)
